student_id,attendance,internal1,internal2,assignments,study_hours,previous_marks,final_score
S1121,61.36,52.15,53.29,72.93,1.81,35.11,50.32
S1122,96.04,55.36,74.59,81.85,2.5,60.95,65.31
S1123,53.97,58.75,33.06,82.6,0.77,41.43,55.11
S1124,83.8,72.4,56.97,68.83,3.87,44.48,64.02
S1125,100.0,47.69,59.71,65.19,2.66,74.87,59.06
S1126,60.14,55.07,70.51,79.03,2.52,68.3,65.14
S1127,66.51,59.74,13.0,75.33,1.31,74.99,44.88
S1128,76.49,62.69,64.99,64.82,7.84,58.92,54.81
S1129,67.45,61.76,41.3,38.76,0.77,78.44,51.5
S1130,51.74,67.85,67.84,60.64,2.07,57.97,67.44
S1131,76.03,75.19,43.35,47.07,0.89,83.98,47.65
S1132,59.07,67.07,46.6,56.66,3.28,70.86,46.74
S1133,82.1,68.16,57.07,70.66,0.12,61.48,66.9
S1134,61.21,31.52,43.06,77.17,0.11,68.61,44.86
S1135,98.25,60.9,53.44,100.0,4.0,64.7,74.57
S1136,63.25,68.63,40.52,59.25,1.37,92.13,51.4
S1137,70.17,73.12,29.0,85.49,1.0,69.17,59.06
S1138,87.2,47.54,80.32,76.12,2.24,64.97,76.88
S1139,56.54,48.14,38.67,95.92,2.9,60.95,46.26
S1140,78.41,49.67,58.78,81.52,0.54,79.33,67.87
S1141,94.61,69.66,75.55,49.83,0.49,77.03,72.2
S1142,50.89,78.61,50.93,35.54,7.62,60.34,44.87
S1143,77.77,52.67,47.15,76.23,2.14,45.35,59.8
S1144,78.9,76.34,66.07,59.43,1.19,49.67,63.12
S1145,86.73,62.22,82.12,50.39,3.88,61.87,66.78
S1146,56.45,57.76,40.95,44.65,1.79,87.93,52.26
S1147,55.19,56.2,59.3,73.22,0.66,60.75,52.18
S1148,82.83,73.44,30.82,100.0,0.56,54.9,62.75
S1149,79.45,65.86,54.92,61.83,1.21,35.07,58.86
S1150,78.76,100.0,62.62,81.81,4.72,90.73,80.39
S1151,80.2,44.66,46.62,67.95,0.15,74.67,46.88
S1152,64.8,69.33,53.77,44.21,0.59,78.53,63.35
S1153,78.48,50.47,36.65,84.7,5.37,81.35,53.64
S1154,79.4,44.35,63.39,48.11,0.31,62.2,59.56
S1155,64.28,59.8,81.0,70.43,2.38,66.44,63.11
S1156,100.0,62.47,42.25,63.17,0.58,90.31,57.05
S1157,82.11,100.0,50.79,87.86,2.23,68.05,74.96
S1158,57.13,56.69,71.05,48.84,1.16,74.99,49.56
S1159,84.85,39.66,83.82,77.82,0.26,79.8,72.1
S1160,60.38,64.91,35.12,53.2,2.1,75.93,47.46
S1161,86.81,22.66,58.96,59.78,2.76,62.82,45.68
S1162,92.38,58.34,67.1,0.0,2.74,64.42,65.2
S1163,62.69,60.29,60.16,100.0,2.43,78.22,64.89
S1164,89.45,74.3,17.42,81.01,1.66,78.19,66.71
S1165,81.19,77.53,71.02,54.65,1.76,84.86,62.46
S1166,87.33,50.94,89.35,47.51,2.42,74.37,54.31
S1167,100.0,57.29,64.1,60.09,2.81,75.14,77.26
S1168,71.32,46.21,43.44,84.34,2.55,57.41,55.39
S1169,63.69,39.69,52.76,32.16,2.12,55.12,48.76
S1170,61.66,65.58,93.86,67.17,0.41,78.27,69.35
S1171,62.76,37.08,78.38,100.0,0.57,55.24,57.58
S1172,73.84,52.54,73.52,47.32,0.72,64.65,58.95
S1173,80.12,42.09,68.42,71.61,6.05,88.44,74.3
S1174,79.15,69.89,50.1,100.0,3.42,85.75,68.88
S1175,87.41,92.43,58.39,82.64,1.93,70.13,78.04
S1176,75.2,36.57,60.6,72.52,0.7,59.97,43.51
S1177,96.8,26.65,71.89,80.13,0.28,62.9,69.1
S1178,71.03,57.75,89.16,61.98,5.5,79.75,58.03
S1179,100.0,60.28,82.13,95.99,5.36,64.38,83.05
S1180,84.39,63.94,36.45,62.01,0.28,55.51,58.51
S1181,62.14,51.97,66.03,30.82,3.83,85.67,53.66
S1182,58.94,56.39,75.26,62.17,1.42,68.09,57.31
S1183,82.24,66.62,73.14,50.67,0.94,55.19,60.58
S1184,71.65,78.73,50.67,64.38,3.22,73.14,57.45
S1185,85.71,24.81,100.0,64.82,2.29,81.51,64.17
S1186,82.1,53.36,39.01,93.95,3.63,47.87,72.94
S1187,73.91,63.85,42.5,83.91,0.19,61.59,66.4
S1188,62.3,43.48,66.2,75.27,0.92,60.81,50.12
S1189,52.28,91.16,100.0,69.94,0.92,72.69,71.13
S1190,68.3,48.56,46.95,48.82,0.96,75.74,52.13
S1191,87.85,59.26,57.22,26.38,1.68,55.62,54.76
S1192,78.21,70.01,81.39,72.26,0.8,39.62,59.02
S1193,56.31,49.36,61.68,85.89,1.41,82.54,60.8
S1194,77.6,26.76,55.98,67.83,1.1,45.96,56.34
S1195,80.78,52.28,72.18,59.3,3.19,69.61,57.54
S1196,61.74,78.53,66.91,79.29,2.22,62.76,75.54
S1197,77.31,53.94,80.55,68.33,2.54,67.76,73.65
S1198,75.87,44.76,85.25,100.0,0.57,93.07,72.85
S1199,57.86,76.66,67.53,94.65,0.95,100.0,60.58
S1200,80.37,54.05,67.25,89.19,0.05,37.23,63.89
S1201,83.41,50.82,65.85,85.15,0.28,81.73,66.96
S1202,91.25,62.69,70.8,44.2,0.74,62.34,65.82
S1203,90.81,73.87,62.99,83.26,0.16,82.81,80.47
S1204,54.33,100.0,61.99,77.53,2.21,81.27,65.79
S1205,60.93,74.89,83.54,82.13,12.0,88.97,86.42
S1206,82.73,80.88,89.29,79.85,0.26,69.84,76.24
S1207,82.71,50.89,34.86,79.06,4.13,49.88,55.0
S1208,82.73,41.53,62.18,100.0,0.3,80.77,79.05
S1209,100.0,61.12,49.6,68.48,2.66,67.01,70.43
S1210,83.56,61.93,56.4,88.73,2.47,61.02,62.48
S1211,92.03,40.59,69.25,60.58,5.59,56.9,63.05
S1212,89.31,56.84,74.05,85.81,0.29,82.11,73.55
S1213,84.77,67.19,59.98,88.79,0.91,92.26,68.72
S1214,70.27,66.49,27.56,77.29,0.23,44.68,53.36
S1215,86.38,69.08,44.63,100.0,1.26,75.57,62.62
S1216,63.41,65.24,78.14,52.31,5.82,58.67,51.04
S1217,71.45,50.87,12.67,60.26,3.65,40.06,46.08
S1218,67.72,50.75,83.37,74.25,3.08,67.51,64.02
S1219,76.23,38.42,71.38,87.62,1.83,50.84,63.32
S1220,100.0,92.13,85.69,73.59,5.16,38.18,74.54
S1221,46.99,60.24,58.43,95.72,1.43,51.71,47.68
S1222,85.29,55.95,24.89,56.77,0.39,47.53,45.16
S1223,50.81,43.28,69.75,47.19,4.36,54.01,56.3
S1224,67.92,100.0,84.94,76.16,0.79,42.46,66.03
S1225,91.33,40.68,78.64,68.46,0.13,58.28,60.21
S1226,75.96,52.28,50.07,80.86,0.32,52.87,55.16
S1227,58.83,67.49,63.56,69.45,2.25,71.39,55.89
S1228,64.27,70.8,52.41,63.2,2.24,75.09,54.66
S1229,85.19,77.24,47.25,68.5,0.72,69.42,58.55
S1230,64.04,92.54,79.2,70.58,3.12,61.0,77.01
S1231,78.25,69.11,40.44,63.9,3.57,60.54,62.98
S1232,75.68,40.99,45.91,65.94,6.08,50.77,61.79
S1233,65.23,55.37,42.13,61.93,2.11,51.18,59.97
S1234,100.0,65.54,35.18,87.13,3.63,76.96,53.62
S1235,84.51,97.23,64.64,73.88,3.36,35.09,71.83
S1236,44.62,34.84,82.91,100.0,0.72,63.63,52.91
S1237,77.8,81.65,58.67,73.21,0.89,59.5,71.59
S1238,65.07,63.24,34.9,58.98,1.56,75.19,48.59
S1239,87.79,75.08,77.12,100.0,0.05,40.77,65.16
S1240,63.11,58.16,92.34,78.27,0.85,65.21,55.96
S1241,73.28,44.84,50.37,89.8,1.54,70.83,56.87
S1242,82.57,73.52,53.39,81.84,0.27,32.62,67.19
S1243,87.99,71.78,71.28,82.46,0.32,46.74,69.35
S1244,57.0,77.5,91.19,80.71,1.49,63.44,59.97
S1245,69.98,59.76,52.64,47.96,3.15,73.74,69.04
S1246,67.88,49.2,38.02,77.35,4.31,68.1,58.88
S1247,65.2,31.94,73.37,43.5,1.9,74.53,56.95
S1248,100.0,74.75,76.38,66.51,1.55,46.65,78.35
S1249,81.07,67.63,62.11,55.49,1.16,37.99,49.08
S1250,56.09,42.62,51.95,77.15,0.51,66.44,45.94
S1251,88.77,50.31,79.9,76.68,0.38,44.1,69.27
S1252,100.0,51.6,71.5,79.62,3.77,50.29,63.61
S1253,90.49,33.31,48.17,75.75,1.5,80.85,57.46
S1254,52.21,45.28,62.88,57.86,3.75,68.21,51.59
S1255,67.74,39.59,37.67,64.78,2.92,55.34,41.43
S1256,94.0,52.58,74.35,88.41,0.52,53.13,65.55
S1257,64.38,46.7,57.28,91.36,1.71,75.56,64.5
S1258,81.66,30.71,54.16,47.06,1.41,68.6,56.39
S1259,86.62,96.41,61.41,39.38,1.32,44.35,70.9
S1260,61.1,82.55,62.73,55.46,1.88,31.89,62.83
S1261,74.11,45.98,78.11,90.9,9.65,96.99,73.94
S1262,30.0,64.9,72.64,94.3,4.02,44.22,57.55
S1263,59.63,67.51,59.18,51.51,5.62,73.97,59.7
S1264,71.21,81.44,75.75,76.15,0.07,90.68,66.0
S1265,56.28,45.27,69.21,100.0,0.36,67.51,52.72
S1266,99.49,79.66,54.32,78.31,0.21,54.79,64.86
S1267,53.55,50.14,59.76,98.43,0.73,40.76,52.62
S1268,68.4,35.95,59.33,89.97,1.4,40.52,50.47
S1269,76.96,73.03,71.09,51.8,2.47,71.4,66.69
S1270,96.62,83.23,55.39,66.2,1.67,89.67,72.82
S1271,53.46,100.0,54.97,70.7,5.6,58.28,65.45
S1272,92.45,38.4,97.44,72.08,6.75,55.55,72.13
S1273,75.15,72.58,78.92,88.33,0.43,76.86,77.41
S1274,60.28,52.62,48.31,78.17,4.6,53.34,54.56
S1275,81.93,74.1,72.28,11.28,1.58,69.67,65.26
S1276,77.99,33.53,64.13,43.74,1.45,65.71,55.99
S1277,66.0,37.27,69.05,26.25,3.69,58.04,56.13
S1278,76.05,46.03,64.47,73.51,0.23,64.74,68.42
S1279,69.22,61.42,83.41,74.81,5.14,94.97,73.02
S1280,76.7,48.46,68.22,75.66,2.67,75.28,63.35
S1281,84.93,71.86,60.88,50.82,5.0,83.57,66.84
S1282,98.79,78.48,80.76,83.48,12.0,49.38,77.19
S1283,56.43,70.79,66.2,84.33,1.75,83.63,60.37
S1284,100.0,89.14,64.19,44.9,0.23,75.86,75.52
S1285,45.72,67.48,67.65,40.68,0.44,39.51,42.95
S1286,72.72,38.1,60.32,70.0,0.94,74.18,65.94
S1287,83.82,84.54,62.17,100.0,0.26,56.27,70.15
S1288,79.21,49.11,51.44,100.0,4.05,38.72,77.98
S1289,65.66,76.39,48.48,81.27,0.85,67.21,56.56
S1290,71.88,88.33,44.03,55.4,8.94,74.16,66.14
S1291,67.6,68.22,36.94,87.74,2.91,67.58,57.2
S1292,66.16,33.07,46.17,60.95,0.46,63.14,43.31
S1293,87.74,43.47,58.86,54.65,1.55,59.38,63.7
S1294,80.36,83.81,63.86,27.12,1.51,100.0,57.81
S1295,64.61,56.96,57.12,72.05,1.63,44.9,51.02
S1296,88.49,61.43,19.6,57.4,1.84,79.84,59.36
S1297,79.61,73.66,90.34,71.93,0.08,65.26,74.53
S1298,87.19,72.53,81.56,24.01,2.78,50.47,54.31
S1299,84.44,65.02,70.02,73.4,1.6,64.18,69.84
S1300,62.57,56.24,96.33,21.38,3.76,41.32,56.15
S1301,66.6,54.37,44.41,91.76,4.05,54.88,52.18
S1302,86.21,75.44,95.98,80.44,0.63,64.2,69.9
S1303,84.16,69.96,44.63,64.43,0.12,38.63,45.34
S1304,74.69,55.37,66.3,81.25,2.92,73.61,74.32
S1305,76.76,79.48,39.07,50.44,9.13,48.62,65.99
S1306,94.16,57.68,62.26,71.45,1.42,40.32,55.25
S1307,66.13,44.67,68.95,85.9,0.72,46.63,61.96
S1308,83.21,46.34,59.22,8.11,0.41,100.0,49.89
S1309,71.97,42.38,74.85,61.06,0.81,31.37,59.63
S1310,71.73,55.1,63.78,69.55,0.95,72.41,56.88
S1311,91.48,82.21,52.6,66.07,1.32,52.22,63.45
S1312,87.38,45.51,51.8,99.14,2.56,59.05,61.63
S1313,87.2,63.39,76.6,47.52,0.77,75.27,60.89
S1314,94.58,48.18,50.23,57.58,0.13,74.43,67.87
S1315,75.32,55.31,78.48,31.68,1.12,53.43,61.63
S1316,85.23,32.82,84.01,100.0,4.64,41.92,66.85
S1317,70.35,56.03,31.96,65.07,1.66,75.58,59.48
S1318,79.86,56.51,82.39,61.23,8.03,74.39,58.62
S1319,73.05,69.73,99.09,68.95,1.68,60.16,61.85
S1320,76.45,64.02,66.54,82.72,0.77,72.51,68.12
S1321,83.93,38.43,72.78,76.95,0.52,57.42,65.18
S1322,62.73,79.52,80.67,100.0,2.85,50.94,70.91
S1323,100.0,63.79,57.04,79.08,1.84,65.07,57.16
S1324,59.91,63.57,65.28,60.7,2.22,73.82,51.97
S1325,56.79,59.83,38.34,58.77,3.38,70.26,53.86
S1326,92.37,50.68,64.5,62.14,3.11,73.66,78.93
S1327,86.87,63.92,70.97,39.96,0.11,52.07,67.26
S1328,84.36,68.56,71.29,70.8,3.89,91.89,80.28
S1329,84.43,28.56,81.18,85.67,1.83,59.18,64.77
S1330,74.82,50.3,48.05,57.73,1.19,62.98,55.92
S1331,61.54,55.41,52.41,53.85,1.85,42.58,44.01
S1332,76.14,64.61,96.12,100.0,2.27,61.7,79.2
S1333,64.84,81.48,59.29,41.47,0.39,74.05,57.75
S1334,89.63,46.11,65.6,28.64,1.3,77.96,61.65
S1335,72.79,51.04,60.79,46.94,0.98,91.55,57.44
S1336,62.62,50.77,47.21,39.19,1.04,73.84,50.71
S1337,70.18,45.57,91.22,77.72,0.23,69.71,63.12
S1338,81.19,53.75,52.5,62.79,0.42,57.41,58.26
S1339,66.54,73.87,41.71,65.61,0.42,53.75,61.18
S1340,62.67,41.03,53.89,93.06,1.12,81.49,49.72
S1341,78.66,67.7,25.97,56.17,5.4,81.17,48.68
S1342,78.67,29.37,50.28,85.5,0.55,46.69,55.92
S1343,67.4,49.9,44.57,100.0,1.29,77.29,67.76
S1344,67.93,54.07,73.11,60.89,0.9,76.06,69.76
S1345,78.48,90.15,49.88,84.74,3.72,46.07,59.45
S1346,53.28,55.05,77.98,65.16,0.12,74.19,54.76
S1347,53.89,20.38,87.17,88.48,0.53,47.16,44.36
S1348,64.22,24.02,76.06,38.57,0.57,23.7,41.21
S1349,71.8,60.61,58.12,37.09,11.9,62.28,66.17
S1350,79.66,71.05,64.54,62.17,2.03,69.38,64.24
S1351,97.13,66.76,34.55,52.22,0.36,63.04,56.62
S1352,87.86,63.02,59.59,59.67,0.76,100.0,69.09
S1353,72.6,80.92,46.51,65.61,0.44,71.44,56.07
S1354,74.71,50.29,74.5,84.4,0.32,67.5,72.76
S1355,59.96,76.11,100.0,61.85,3.83,72.3,68.68
S1356,74.72,30.62,71.0,53.52,1.64,57.5,51.19
S1357,70.67,43.71,26.16,62.97,2.39,80.8,53.89
S1358,79.84,27.47,55.5,54.62,0.97,71.14,57.98
S1359,62.59,55.05,64.2,51.32,1.94,70.36,64.78
S1360,82.79,59.17,63.57,37.74,0.71,54.39,55.44
S1361,97.99,62.05,48.85,71.39,0.88,38.41,68.18
S1362,73.37,61.11,66.42,58.63,2.53,56.48,60.16
S1363,81.03,43.3,39.63,89.33,0.39,69.8,53.75
S1364,85.35,56.58,44.99,41.05,2.3,57.44,50.04
S1365,68.98,33.05,73.62,59.16,4.59,69.96,50.16
S1366,78.36,84.54,43.72,100.0,0.31,61.05,62.05
S1367,75.19,54.53,71.69,51.21,5.47,72.32,68.38
S1368,76.47,51.2,37.35,65.27,0.2,48.39,55.8
S1369,63.4,88.6,93.77,45.68,1.03,68.28,59.07
S1370,75.37,37.64,48.06,43.03,2.26,54.1,38.5
S1371,82.47,39.74,57.97,100.0,1.97,38.85,53.35
S1372,96.77,40.27,67.95,73.42,0.24,62.19,58.53
S1373,89.39,58.78,51.82,72.67,3.85,91.12,64.59
S1374,100.0,67.77,64.58,36.07,8.68,40.2,72.28
S1375,63.49,73.31,72.36,77.17,0.48,67.03,60.24
S1376,88.08,100.0,79.29,93.15,5.41,78.56,92.5
S1377,77.75,19.51,76.25,92.99,1.95,100.0,53.43
S1378,100.0,70.96,58.91,83.37,6.59,56.62,70.35
S1379,62.88,49.97,59.36,47.41,0.46,54.26,55.07
S1380,62.4,49.44,100.0,76.26,3.77,45.17,68.41
S1381,66.01,48.84,79.1,83.35,0.15,84.39,61.09
S1382,43.14,43.64,45.41,34.11,5.15,50.25,47.32
S1383,67.11,90.32,63.8,47.57,2.69,58.7,66.83
S1384,63.61,75.16,55.97,87.76,1.11,33.57,55.11
S1385,77.26,60.42,59.56,87.52,0.51,80.03,66.58
S1386,80.13,84.32,39.87,39.03,4.07,84.69,65.45
S1387,100.0,32.77,54.59,85.9,2.22,79.38,60.74
S1388,89.26,36.05,94.61,71.91,1.07,37.71,73.7
S1389,66.35,20.8,72.42,85.62,1.41,75.32,51.3
S1390,61.52,47.41,17.16,57.31,4.2,36.56,43.51
S1391,82.38,62.91,83.9,82.9,0.99,65.99,61.99
S1392,55.2,61.85,81.61,86.88,0.23,68.49,63.11
S1393,100.0,62.69,55.53,62.97,5.81,70.27,61.62
S1394,92.69,34.6,74.91,70.36,1.18,74.09,61.86
S1395,67.96,74.46,46.53,57.03,1.03,64.86,47.22
S1396,49.3,64.31,53.54,100.0,0.55,31.64,59.13
S1397,95.31,73.19,88.97,67.59,5.47,74.1,78.68
S1398,73.28,25.93,57.11,51.56,0.59,66.66,56.15
S1399,93.57,65.61,28.34,55.68,2.43,49.66,54.63
S1400,51.08,38.62,60.86,72.54,5.1,38.32,56.73
S1401,66.01,52.85,60.59,85.07,0.09,91.18,61.35
S1402,75.08,69.62,83.57,43.28,4.24,85.93,67.29
S1403,75.7,61.64,62.26,100.0,1.27,77.0,79.72
S1404,68.25,44.67,54.41,76.17,2.57,53.5,52.03
S1405,84.34,60.11,80.81,79.33,1.12,22.21,71.31
S1406,58.99,32.43,64.17,68.06,2.85,78.0,56.38
S1407,72.86,80.7,48.5,70.39,0.7,71.23,58.66
S1408,76.8,56.3,82.79,67.03,0.05,58.63,55.07
S1409,82.72,80.13,65.49,90.36,7.09,84.12,69.11
S1410,85.67,50.52,62.05,69.84,0.04,79.42,69.16
S1411,58.13,50.58,65.2,85.34,4.17,67.99,69.78
S1412,51.99,46.24,42.73,61.32,0.44,65.6,47.32
S1413,94.17,75.77,52.5,73.91,1.2,65.87,68.33
S1414,79.98,47.23,62.06,53.92,4.15,76.56,64.33
S1415,63.77,71.6,58.5,94.33,0.55,50.42,61.87
S1416,98.27,53.12,84.9,53.33,4.82,72.24,76.4
S1417,76.74,24.43,65.91,63.5,1.65,49.35,54.29
S1418,92.69,49.73,77.39,63.7,1.09,87.72,68.28
S1419,76.01,38.78,62.17,62.92,2.61,74.05,53.14
S1420,100.0,60.61,81.01,84.45,1.0,53.3,66.15
S1421,100.0,38.57,69.16,63.67,1.02,66.37,44.29
S1422,71.27,76.67,62.24,97.88,3.17,50.49,74.32
S1423,89.57,58.36,61.76,53.63,0.89,90.57,63.08
S1424,84.68,56.8,44.82,73.39,0.54,92.59,59.63
S1425,95.53,71.81,71.12,54.48,3.96,76.84,58.59
S1426,60.53,77.35,61.28,78.42,3.93,91.46,61.89
S1427,85.29,59.64,52.96,69.68,1.65,67.58,57.25
S1428,90.88,46.12,81.92,66.9,1.8,77.98,62.29
S1429,48.62,28.07,39.5,93.77,2.86,85.82,51.74
S1430,57.25,47.65,54.4,56.91,1.71,64.9,51.34
S1431,44.41,48.89,80.5,81.73,1.3,66.21,48.34
S1432,70.96,61.93,67.68,54.62,12.0,80.87,58.15
S1433,85.76,53.79,61.14,72.25,0.38,75.99,55.26
S1434,97.54,72.38,66.52,46.09,2.16,52.16,76.23
